index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
433,25,33,20,14284.2628067,285685.256134
434,25,34,21,14604.0951642,306685.998448
435,25,35,21,14566.640122,305899.442561
436,25,36,18,15377.8856476,276801.941657
437,25,37,23,15276.9558752,351369.98513
438,25,38,13,15231.4381941,198008.696523
439,25,39,15,14856.9018554,222853.527831
440,25,40,16,14554.7200758,232875.521214
441,25,41,23,14411.098052,331455.255197
442,25,42,20,13815.2465317,276304.930633
443,25,43,27,13405.4183457,361946.295335
444,25,44,28,13460.8585421,376904.039179
445,25,45,23,13061.0093164,300403.214278
446,25,46,25,12738.4908692,318462.271729
447,25,47,32,12602.5373918,403281.196538
448,25,48,27,12845.1185103,346818.199778
449,25,49,22,12859.2719304,282903.982469
450,25,50,19,12842.1490244,244000.831464
451,25,51,16,12559.3848656,200950.15785
452,25,52,27,12865.6369968,347372.198914
453,25,53,27,12846.210361,346847.679747
454,25,54,19,13123.3806829,249344.232975
455,25,55,25,12859.2512357,321481.280893
456,25,56,25,13157.6450998,328941.127494
457,25,57,32,13409.3451554,429099.044974
458,25,58,16,13796.2168443,220739.469509
459,25,59,24,13135.7850503,315258.841207
460,25,60,37,12160.0246856,449920.913369
461,25,61,29,11394.5200836,330441.082424
462,25,62,17,11137.830368,189343.116256
463,25,63,36,10921.8701508,393187.32543
464,25,64,30,10780.6103452,323418.310356
465,25,65,37,10699.3518745,395876.019355
466,25,66,27,10641.5102891,287320.777806
467,25,67,25,10536.4733742,263411.834354
468,25,68,44,10608.2247019,466761.886884
469,25,69,36,10493.6505756,377771.420721
470,25,70,39,10515.9308417,410121.302826
471,25,71,29,11453.4824875,332150.992139
472,25,72,25,11881.4113326,297035.283315
473,25,73,35,12141.0645022,424937.257576
474,25,74,21,12100.8775136,254118.427785
475,25,75,34,10951.4160048,372348.144164
476,25,76,43,10120.5195128,435182.339051
477,25,77,37,9786.3443727,362094.74179
478,25,78,46,9569.96621231,440218.445766
479,25,79,30,9378.42290349,281352.687105
480,25,80,47,9445.29887521,443929.047135
481,25,81,35,9515.11504788,333029.026676
482,25,82,32,9726.58003102,311250.560993
483,25,83,39,10217.1857758,398470.245258
484,25,84,29,11368.8886378,329697.770497
485,25,85,29,11899.1905376,345076.525592
486,25,86,27,11940.776579,322400.967634
487,25,87,28,11590.0814474,324522.280527
488,25,88,27,11617.816067,313681.03381
489,25,89,27,12517.71581,337978.32687
490,25,90,28,12074.1210383,338075.389073
491,25,91,37,10633.4558081,393437.864901
492,25,92,33,10043.6457802,331440.310747
493,25,93,44,9977.78366856,439022.481417
494,25,94,40,10066.4998304,402659.993216
495,25,95,54,10138.4748541,547477.642124
496,25,96,35,10313.0679203,360957.377209
497,25,97,31,10342.3176692,320611.847745
498,25,98,29,10583.913061,306933.478768
499,25,99,33,11207.951002,369862.383066
500,26,0,13,11914.6012532,154889.816291
501,26,1,24,12440.5631262,298573.515028
502,26,2,21,13045.9406718,273964.754107
503,26,3,32,13030.3926171,416972.563748
504,26,4,30,13096.9796521,392909.389564
505,26,5,26,11718.1089684,304670.833179
506,26,6,28,11143.8289384,312027.210275
507,26,7,27,11195.9232581,302289.927969
508,26,8,33,11476.1051217,378711.469015
509,26,9,21,12383.9951218,260063.897557
510,26,10,26,12300.1353864,319803.520046
511,26,11,22,11922.8062589,262301.737695
512,26,12,32,12449.2317197,398375.415032
513,26,13,21,13074.357126,274561.499645
514,26,14,21,13551.0729151,284572.531217
515,26,15,20,13689.9082891,273798.165782
516,26,16,21,14087.6282851,295840.193987
517,26,17,15,14347.9512768,215219.269152
518,26,18,20,14673.2563546,293465.127092
519,26,19,17,14821.1883362,251960.201715
520,26,20,25,15097.9421025,377448.552562
521,26,21,16,14808.4572301,236935.315681
522,26,22,18,14518.3410285,261330.138513
523,26,23,17,14612.7124633,248416.111876
524,26,24,15,15570.5536664,233558.304997
525,26,25,20,15187.4873626,303749.747252
527,26,27,11,15858.911538,174448.026918
528,26,28,10,16012.4057596,160124.057596
529,26,29,19,15015.4469152,285293.491388
